---,Name,Classification,Classification2,StaticMesh,Image
0,AisleNumber0,item,itemetc,StaticMesh'/Game/MMSupermarket/Equipment/Mesh/SM_AisleNumber01.SM_AisleNumber01',Texture2D'/Game/AssetDataList/Image/AisleNumber1.AisleNumber1'
1,AisleNumber1,item,itemetc,StaticMesh'/Game/MMSupermarket/Equipment/Mesh/SM_AisleNumber03.SM_AisleNumber03',Texture2D'/Game/AssetDataList/Image/AisleNumber3.AisleNumber3'
2,AisleNumber2,item,itemetc,StaticMesh'/Game/MMSupermarket/Equipment/Mesh/SM_AisleNumber02.SM_AisleNumber02',Texture2D'/Game/AssetDataList/Image/AisleNumber2.AisleNumber2'
3,Almonds0,food,nuts,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_Almonds1.SM_Almonds1',Texture2D'/Game/AssetDataList/Image/Almonds1.Almonds1'
4,Almonds0_HalfFull,food,nuts,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_Almonds1_HalfFull.SM_Almonds1_HalfFull',Texture2D'/Game/AssetDataList/Image/Almonds1_HalfFull.Almonds1_HalfFull'
5,Almonds1,food,nuts,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_Almonds2.SM_Almonds2',Texture2D'/Game/AssetDataList/Image/Almonds2.Almonds2'
6,Almonds1_HalfFull,food,nuts,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_Almonds2_HalfFull.SM_Almonds2_HalfFull',Texture2D'/Game/AssetDataList/Image/Almonds2_HalfFull.Almonds2_HalfFull'
7,Aloe,plants,plant,StaticMesh'/Game/HouseplantPack/Geometry/Plants/SM_aloe.SM_aloe',Texture2D'/Game/AssetDataList/Image/Aloe.Aloe'
8,Andouile,food,meat,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_Andouille.SM_Andouille',Texture2D'/Game/AssetDataList/Image/Andouile.Andouile'
9,Andouile_HalfFull,food,meat,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_Andouille_HalfFull.SM_Andouille_HalfFull',Texture2D'/Game/AssetDataList/Image/Andouile_Full.Andouile_Full'
